Date,BT,BT%,Dollar,Dollar%,GPUvendor,Btben,Oilprice
2023-03-06,215.31K,-0.08%,104.43k,0.26%,"46,534K",0,75.36
2023-03-05,160.57K,0.36%,104.16k,0.19%,"51,546K",0,76.36
2023-03-04,123.93K,-0.03%,103.96k,-0.72%,"37,239K",0,77.73
2023-03-03,344.63K,-4.73%,104.72k,0.02%,"35,269K",0,76.71
2023-03-02,249.26K,-0.75%,104.7k,0.14%,"35,226K",0,75.48
2023-03-01,328.77K,2.21%,104.56k,0.76%,"37,139K",0,71.83
2023-02-28,275.10K,-1.55%,103.77k,-0.20%,"47,098K",18,72.05
2023-02-27,297.65K,-0.27%,103.98k,-1.09%,"56,530K",18,73.09
2023-02-26,209.12K,1.69%,105.13k,0.31%,"29,838K",18,74.85
2023-02-25,198.35K,-0.11%,104.81k,0.03%,"30,374K",18,77.97
2023-02-24,367.99K,-3.11%,104.77k,-0.31%,"16,793K",18,80.81
2023-02-23,417.46K,-1.03%,105.1k,-0.45%,"42,724K",18,80.98
2023-02-22,400.24K,-1.08%,105.58k,0.27%,"47,287K",18,81.37
2023-02-21,395.97K,-1.57%,105.29k,0.71%,"40,474K",18,80.44
2023-02-20,363.02K,2.21%,104.54k,-0.17%,"49,207K",18,80.96
2023-02-19,312.64K,-1.33%,104.73k,-1.15%,"71,089K",18,76.68
2023-02-18,223.77K,0.24%,105.95k,-0.82%,"64,955K",18,81.08
2023-02-17,523.85K,4.39%,106.82k,0.13%,"54,588K",18,77.67
2023-02-16,484.50K,-3.24%,106.68k,0.68%,"52,785K",18,81.83
2023-02-15,401.53K,9.59%,105.96k,0.13%,"65,549K",18,82.35
2023-02-14,378.39K,1.96%,105.82k,-0.24%,"70,082K",18,81.27
2023-02-13,312.04K,-0.07%,106.08k,-1.07%,"45,441K",18,84.35
2023-02-12,211.65K,-0.33%,107.22k,-0.57%,"59,529K",18,87.18
2023-02-11,182.07K,1.04%,107.83k,0.85%,"41,006K",18,88.06
2023-02-10,352.79K,-0.72%,106.93k,0.22%,"61,258K",18,86.83
2023-02-09,425.44K,-5.10%,106.69k,0.39%,"50,007K",18,91.04
2023-02-08,289.12K,-1.23%,106.28k,-0.12%,"67,263K",18,91.05
2023-02-07,318.98K,2.15%,106.4k,-0.24%,"43,282K",18,87.18
2023-02-06,278.58K,-0.76%,106.66k,0.35%,"48,634K",18,89.8
